,image_path,id
0,/root/autodl-tmp/GUIE-data/furniture/table kitchen island/001.jpg,0
1,/root/autodl-tmp/GUIE-data/furniture/table kitchen island/002.jpg,0
2,/root/autodl-tmp/GUIE-data/furniture/table kitchen island/003.jpg,0
3,/root/autodl-tmp/GUIE-data/furniture/table kitchen island/004.jpg,0
4,/root/autodl-tmp/GUIE-data/furniture/table kitchen island/005.jpg,0
5,/root/autodl-tmp/GUIE-data/furniture/table kitchen island/006.jpg,0
6,/root/autodl-tmp/GUIE-data/furniture/table kitchen island/007.jpg,0
7,/root/autodl-tmp/GUIE-data/furniture/table kitchen island/008.jpg,0
8,/root/autodl-tmp/GUIE-data/furniture/table kitchen island/009.jpg,0
9,/root/autodl-tmp/GUIE-data/furniture/table kitchen island/010.jpg,0
10,/root/autodl-tmp/GUIE-data/furniture/textile carpet/001.jpg,1
11,/root/autodl-tmp/GUIE-data/furniture/textile carpet/002.jpg,1
12,/root/autodl-tmp/GUIE-data/furniture/textile carpet/003.jpg,1
13,/root/autodl-tmp/GUIE-data/furniture/textile carpet/004.jpg,1
14,/root/autodl-tmp/GUIE-data/furniture/textile carpet/005.jpg,1
15,/root/autodl-tmp/GUIE-data/furniture/textile carpet/006.jpg,1
16,/root/autodl-tmp/GUIE-data/furniture/textile carpet/007.jpg,1
17,/root/autodl-tmp/GUIE-data/furniture/textile carpet/008.jpg,1
18,/root/autodl-tmp/GUIE-data/furniture/textile carpet/009.jpg,1
19,/root/autodl-tmp/GUIE-data/furniture/textile carpet/010.jpg,1
20,/root/autodl-tmp/GUIE-data/furniture/textile pillow/001.JPG,2
21,/root/autodl-tmp/GUIE-data/furniture/textile pillow/002.JPG,2
22,/root/autodl-tmp/GUIE-data/furniture/textile pillow/003.JPG,2
23,/root/autodl-tmp/GUIE-data/furniture/textile pillow/004.JPG,2
24,/root/autodl-tmp/GUIE-data/furniture/textile pillow/005.JPG,2
25,/root/autodl-tmp/GUIE-data/furniture/textile pillow/006.JPG,2
